question,label,tag
halo,greets,greeting
hai,greets,greeting
hi,greets,greeting
selamat pagi,greets,greeting
selamat siang,greets,greeting
selamat sore,greets,greeting
selamat malam,greets,greeting
permisi ini cs pukesmas keputih?,greets,greeting
ini benar kontaknya puskesmas keputih?,greets,greeting
hei,greets,greeting
halo selamat pagi,greets,greeting
halo selamat siang,greets,greeting
hai selamat sore,greets,greeting
hai selamat malam,greets,greeting
haloo,greets,greeting
assalamualaikum,greets,greeting
alamat Puskesmas Keputih dimana?,layanan,alamat
Puskesmas Keputih alamatnya dimana?,layanan,alamat
Puskesmas Keputih dmn?,layanan,alamat
Puskesmas Keputih dimana ya?,layanan,alamat
Alamat puskesmas dmn yaa,layanan,alamat
alamat lengkapnya apa?,layanan,alamat
alamatnya dimana?,layanan,alamat
Puskesmas Keputih itu dimana ya?,layanan,alamat
alamat lengkap puskesmas dimana?,layanan,alamat
puskesmas keputih di sebelah mana ya,layanan,alamat
puskesmasnya sebalah mana ya,layanan,alamat
alamatnya mana?,layanan,alamat
puskesmas keputih di jalan apa,layanan,alamat
alamatnya di jalan apa nomor berapa?,layanan,alamat
puskesmasnya apa pindah?,layanan,alamat sementara
alamat baru puskesmas keputih?,layanan,alamat sementara
puskesmas keputih pindah kemana,layanan,alamat sementara
alamat yang baru dmn yaa?,layanan,alamat sementara
puskemas pindah dimana?,layanan,alamat sementara
alamat puskesmas yang sekarang dimana?,layanan,alamat sementara
puskesmas keputih pindahnya kemana ya?,layanan,alamat sementara
sekarang pindah dimana ya?,layanan,alamat sementara
alamat sementara puskesmas dimana?,layanan,alamat sementara
alamat Puskesmas Keputih pindah dimana?,layanan,alamat sementara
emang puskesmasnya pindah yaa?,layanan,alamat sementara
pindah dimana puskesmasnya?,layanan,alamat sementara
di alamat sesuai google kok tutup ya,layanan,alamat sementara
apa pindah?,layanan,alamat sementara
sekarang puskesmasnya dimana?,layanan,alamat sementara
apa masih di rusunawa?,layanan,alamat sementara
di rusunawanya blok berapa?,layanan,alamat sementara
alamat yang baru apa?,layanan,alamat sementara
alamat pindahnya mana?,layanan,alamat sementara
puskesmas sekarang di rusunawa?,layanan,alamat sementara
pindah kemana?,layanan,alamat sementara
di alamat yg keputih tegal kok tidak ada puskesmasnya,layanan,alamat sementara
sekarang puskesmas pindah mana?,layanan,alamat sementara
Pelayanan di Puskesmas Keputih mulai jam berapa?,layanan,jadwal buka
puskesmas keputih buka 24 jam apa tidak?,layanan,jadwal buka
hari libur buka atau gak?,layanan,jadwal buka
jadwal buka,layanan,jadwal buka
Puskesmas Keputih buka jam brp?,layanan,jadwal buka
buka setiap hari apa?,layanan,jadwal buka
buka tiap hari apa aja?,layanan,jadwal buka
puskesmas keputih buka setiap hari gak ya,layanan,jadwal buka
kalau tanggal merah libur apa tidak?,layanan,jadwal buka
tgl merah puskesmas tetap buka gak,layanan,jadwal buka
hari minggu puskesmas buka apa tidak?,layanan,jadwal buka
hari minggu melayani pasien apa tidak?,layanan,jadwal buka
hari minggu bisa ke puskesmas tidak yaa?,layanan,jadwal buka
Minggu tetap buka apa tidak?,layanan,jadwal buka
Apakah melayani pasien sampai malam?,layanan,jadwal buka
puskesmas buka sampai malam gak?,layanan,jadwal buka
Puskesmas bukanya jam berapa ya,layanan,jadwal buka
Sabtu bisa ke puskesmas?,layanan,jadwal buka
Hari sabtu buka apa tidak?,layanan,jadwal buka
Hari jumat buka sampai jam berapa?,layanan,jadwal buka
misal sabtu ke puskesmas bisa gak ya?,layanan,jadwal buka
Sabtu buka sampai jam brp?,layanan,jadwal buka
puskesmas bukak ga ya hari minggu,layanan,jadwal buka
Pelayanan pagi jam berapa,layanan,jadwal pagi
Pagi buka jam berapa?,layanan,jadwal pagi
pagi jam 7 sudah buka atau belum?,layanan,jadwal pagi
puskesmas pagi bukanya jam brp?,layanan,jadwal pagi
pagi mulai jam berapa bukanya,layanan,jadwal pagi
jadwal pagi,layanan,jadwal pagi
jadwal pelayanan pagi jam berapa,layanan,jadwal pagi
pelayanan pagi puskesmas mulainya jam berapa sampai jam berapa,layanan,jadwal pagi
biasanya siang gitu bukanya sampai jam berapa,layanan,jadwal pagi
jam 6 sudah buka belum ya,layanan,jadwal pagi
jadwal buka pagi jam berapa sampai jam berapa,layanan,jadwal pagi
paling pagi sudah buka jam berapa,layanan,jadwal pagi
kalau jumat gitu siang sampai jam berapa ya,layanan,jadwal pagi
Pelayanan sore jam berapa,layanan,jadwal sore
Buka sampai jam berapa kalau sore,layanan,jadwal sore
sore masih bisa ke puskesmas apa tidak?,layanan,jadwal sore
sore buka sampai jam berapa?,layanan,jadwal sore
malam masih buka gak,layanan,jadwal sore
puskesmas buka sampai jam berapa kalau sore,layanan,jadwal sore
sore masih buka gak,layanan,jadwal sore
jadwal sore,layanan,jadwal sore
malam masih bisa periksa ke puskesmas?,layanan,jadwal sore
masih melayani pasien gak kalau malam,layanan,jadwal sore
abis maghrib gitu masih bisa ke puskesmas buat ketemu dokter?,layanan,jadwal sore
sore masih buka apa tidak puskesmasnya,layanan,jadwal sore
ke puskesmas sore masih bisa?,layanan,jadwal sore
jam sore masih bisa melayani pasien?,layanan,jadwal sore
tutupnya sampai jam berapa biasanya,layanan,jadwal sore
sore masih buka apa sudah tutup?,layanan,jadwal sore
periksa ke puskesmas pas malam gak bisa ya?,layanan,jadwal sore
ada poli apa saja di Puskesmas Keputih,layanan,poli
Puskesmas keputih melayani apa saja,layanan,poli
di Puskesmas Keputih ada poli apa aja yaa,layanan,poli
ada poli apa saja,layanan,poli
melayani apa saja,layanan,poli
melayani apa aja di puskesmas,layanan,poli
pelayanan di puskesmas apa saja,layanan,poli
melayani apa aja,layanan,poli
ada pelayanan apa saja di puskemas,layanan,poli
melayani pemeriksaan apa saja,layanan,poli
pelayanan pengobatan apa saja di puskesmas,layanan,poli
menyediakan pelayanan apa saja,layanan,poli
pelayanannya di puskesmas apa saja,layanan,poli
melayani pengobatan apa aja,layanan,poli
poli di puskesmas keputih apa aja,layanan,poli
puskesmas melayani apa selain pemeriksaan umum,layanan,poli
Apakah ada poli THT di Puskesmas Keputih?,layanan,poli THT
Bisa periksa telinga di puskesmas gak?,layanan,poli THT
Di puskesmas bisa bersihkan telinga?,layanan,poli THT
Ada poli THT atau tidak di puskesmas?,layanan,poli THT
bersihin telinga di puskesmas bisa?,layanan,poli THT
ada poli THT gak?,layanan,poli THT
bisa periksa THT di puskesmas?,layanan,poli THT
gak ada THT ya di puskesmas,layanan,poli THT
saya mau periksa telinga bisa?,layanan,poli THT
THT di puskesmas ada?,layanan,poli THT
saya mau konsultasi ke THT apa bisa?,layanan,poli THT
THT ada di puskesmas keputih,layanan,poli THT
pemeriksaan THT bisa?,layanan,poli THT
mau cek telinga saya di puskesmas bisa?,layanan,poli THT
Apakah ada poli gigi di Puskesmas Keputih?,layanan,poli gigi
layanan di poli gigi apa saja?,layanan,poli gigi
bisa periksa gigi di puskesmas?,layanan,poli gigi
puskesmas bisa ngasih tindakan ke pasien gigi,layanan,poli gigi
periksa gigi berlubang bisa?,layanan,poli gigi
ada poli gigi gak di puskesmas,layanan,poli gigi
poli gigi di puskesmas keputih ada?,layanan,poli gigi
menerima pasien perawatan gigi?,layanan,poli gigi
bisa perawatan gigi di puskesmas?,layanan,poli gigi
ada layanan gigi dan mulut gak ya?,layanan,poli gigi
melayani pemeriksaan gigi apa tidak?,layanan,poli gigi
ada poli gigi kan di puskesmas?,layanan,poli gigi
poli gigi melayani apa aja di puskesmas keputih,layanan,poli gigi
pelayanan gigi dan mulut ada di puskesmas keputih?,layanan,poli gigi
ada praktik dokter gigi kan disana?,layanan,poli gigi
dokter gigi di puskesmas ada kan?,layanan,poli gigi
mau periksa gigi di puskesmas bisa?,layanan,poli gigi
bisa cek kesehatan gigi?,layanan,poli gigi
Perawatan akar bisa di poli gigi,layanan,poli gigi
saya punya abses gigi bisa tidak mengobatinya di poli gigi,layanan,poli gigi
bisa menangani perawatan gusi bengkak?,layanan,poli gigi
scalling gigi di puskesmas tuh bisa ga,layanan,scalling
bisa bersihkan karang gigi?,layanan,scalling
scaling di puskesmas,layanan,scalling
Scalling di puskesmas bisa ga ya,layanan,scalling
kalo scaling di puskesmas itu bisa ga?,layanan,scalling
bersihkan plak gigi di puskesmas bisa?,layanan,scalling
bersihkan karang gigi/scalling bisa?,layanan,scalling
puskesmas keputih melayani scalling gigi gak?,layanan,scalling
bisa pembersihan karang gigi gak ya di puskesmas?,layanan,scalling
bisa melayani scalling gigi?,layanan,scalling
mau scalling di puskesmas bisa apa tidak,layanan,scalling
saya mau bersihkan karang gigi apa bisa?,layanan,scalling
melayani scalling gak?,layanan,scalling
"saya mau membersihkan karang gigi, di puskesmas bisa kan?",layanan,scalling
bisa melayani pembersihan karang gigi?,layanan,scalling
kalau mau scalling di puskesmas apa bisa?,layanan,scalling
ada pelayanan scalling gak di puskesmas keputih?,layanan,scalling
pembersihan karang gigi di poli gigi bisa?,layanan,scalling
mau nanya kalau bersihin karang gigi ke puskesmas bisa pakai BPJS ga ya,asuransi,scalling bpjs
scalling bisa dicover bpjs apa tidak,asuransi,scalling bpjs
scalling di puskesmas pakai BPJS bisa?,asuransi,scalling bpjs
bersihin karang gigi bisa pakai BPJS,asuransi,scalling bpjs
scalling bisa full dicover bpjs apa tidak,asuransi,scalling bpjs
scalling di puskesmas bisa gratis pakai bpjs?,asuransi,scalling bpjs
apa bisa pakai bpjs untuk scalling?,asuransi,scalling bpjs
scalling pakai BPJS boleh?,asuransi,scalling bpjs
mau scalling tapi BPJS luar kota bisa dipakai gak?,asuransi,scalling bpjs
pembersihan karang gigi boleh pakai BPJS?,asuransi,scalling bpjs
mau bersihkan karang gigi pakai BPJS bisa ya?,asuransi,scalling bpjs
scalling dicover BPJS apa tidak?,asuransi,scalling bpjs
bisa scalling pakai bpjs,asuransi,scalling bpjs
kalau mau scalling pakai bpjs bisa di puskesmas?,asuransi,scalling bpjs
pembersihan karang gigi dicover bpjs tidak?,asuransi,scalling bpjs
pakai bpjs buat scalling bisa tidak ya?,asuransi,scalling bpjs
scalling di poli gigi puskesmas bayar berapa,biaya,tarif scalling
kalau gak ada bpjs bersihin karang gigi berapa,biaya,tarif scalling
tarif scalling gigi di puskesmas berapa,biaya,tarif scalling
bersihkan karang gigi biayanya berapa,biaya,tarif scalling
berapa harga bersihkan karang gigi di puskesmas,biaya,tarif scalling
berapa tarif pembersihan karang gigi,biaya,tarif scalling
scalling kena biaya berapa di puskesmas keputih,biaya,tarif scalling
scalling di puskesmas harganya berapa,biaya,tarif scalling
biaya pembersihan karang gigi berapa harganya,biaya,tarif scalling
scalling bayarnya berapa?,biaya,tarif scalling
tarif scalling per regio berapa kalau di puskesmas,biaya,tarif scalling
tarif buat pembersihan gigi berapa,biaya,tarif scalling
kalau mau scalling bayarnya kisaran berapa,biaya,tarif scalling
bisanya scalling bayar berapa ya?,biaya,tarif scalling
bersihkan karang gigi harganya berapa,biaya,tarif scalling
harga scalling berapa?,biaya,tarif scalling
Bisa cabut gigi di puskesmas?,layanan,cabut gigi
cabut gigi bisa?,layanan,cabut gigi
melayani cabut gigi gak di poli gigi,layanan,cabut gigi
di poli gigi puskesmas bisa cabut gigi?,layanan,cabut gigi
klo mau cabut gigi tu di puskesmas bisa gak ya?,layanan,cabut gigi
bisa cabut gigi bungsu?,layanan,cabut gigi
di puskesmas melayani cabut gigi apa tidak?,layanan,cabut gigi
cabut gigi di puskesmas bisa kan ya,layanan,cabut gigi
cabut gigi gingsul bisa gak ya?,layanan,cabut gigi
mau cabut gigi bungsu di puskesmas apakah bisa,layanan,cabut gigi
cabut gigi yang miring gitu bisa?,layanan,cabut gigi
cabut gigi permanen bisa?,layanan,cabut gigi
melayani pencabutan gigi?,layanan,cabut gigi
gigi bungsu bisa dicabut di puskesmas?,layanan,cabut gigi
Cabut gigi yang paling belakang itu bisa gak,layanan,cabut gigi
apa Cuma bisa cabut gigi sulung aja,layanan,cabut gigi
melayani pencabutan gigi bungsu?,layanan,cabut gigi
saya mau cabut gigi bisa apa tidak ya?,layanan,cabut gigi
mau nanya kalo cabut gigi pake bpjs bisa ga ya di puskesmas?,asuransi,cabut gigi bpjs
Cabut gigi bisa pakai bpjs kan?,asuransi,cabut gigi bpjs
kalau cabut gigi bisa gratis pakai bpjs apa tidak?,asuransi,cabut gigi bpjs
melayani cabut gigi pasien bpjs apa tidak?,asuransi,cabut gigi bpjs
cabut gigi bisa ditanggung BPJS?,asuransi,cabut gigi bpjs
cabut gigi di puskesmas bisa pakai bpjs kan ya,asuransi,cabut gigi bpjs
pencabutan gigi dicover bpjs tidak?,asuransi,cabut gigi bpjs
bisa cabut gigi pakai bpjs?,asuransi,cabut gigi bpjs
terima pelayanan cabut gigi buat pasien bpjs kan?,asuransi,cabut gigi bpjs
Boleh pakai BPJS buat cabut gigi?,asuransi,cabut gigi bpjs
pencabutan gigi di puskesmas bisa pakai BPJS?,asuransi,cabut gigi bpjs
cabut gigi di puskesmas boleh pakai BPJS?,asuransi,cabut gigi bpjs
